"target","count"
"Private Citizens & Property",32834
"Military",20298
"Police",18018
"Government (General)",12932
"Business",9365
"Unknown",5600
"Religious Figures/Institutions",3237
"Transportation",3194
"Educational Institution",3107
"Utilities",2435
"Terrorists/Non-State Militia",2427
"Journalists & Media",1489
"Government (Diplomatic)",1323
"Violent Political Party",1226
"NGO",693
"Telecommunication",614
"Airports & Aircraft",360
"Tourists",175
"Food or Water Supply",163
"Maritime",155
"Other",131
"Abortion Related",28
